"year","value","units","variable"
1745,8.75617750982457,"Tg H2","H2_emissions"
1746,8.75617750982457,"Tg H2","H2_emissions"
1747,8.75617750982457,"Tg H2","H2_emissions"
1748,8.75617750982457,"Tg H2","H2_emissions"
1749,8.75617750982457,"Tg H2","H2_emissions"
1750,8.82422187813636,"Tg H2","H2_emissions"
1751,8.72036979047199,"Tg H2","H2_emissions"
1752,8.67020348701258,"Tg H2","H2_emissions"
1753,8.70141920437371,"Tg H2","H2_emissions"
1754,8.79543842083709,"Tg H2","H2_emissions"
1755,8.82541227811568,"Tg H2","H2_emissions"
1756,8.67154563158308,"Tg H2","H2_emissions"
1757,9.03869155489217,"Tg H2","H2_emissions"
1758,8.91493241427676,"Tg H2","H2_emissions"
1759,8.90203247164896,"Tg H2","H2_emissions"
1760,8.93529355124345,"Tg H2","H2_emissions"
1761,8.98083023291111,"Tg H2","H2_emissions"
1762,8.80980668522501,"Tg H2","H2_emissions"
1763,8.82037052500982,"Tg H2","H2_emissions"
1764,8.68948277000278,"Tg H2","H2_emissions"
1765,8.90989369644128,"Tg H2","H2_emissions"
1766,8.85504613997979,"Tg H2","H2_emissions"
1767,8.86307157999568,"Tg H2","H2_emissions"
1768,9.1946130657234,"Tg H2","H2_emissions"
1769,8.95212143574854,"Tg H2","H2_emissions"
1770,8.97636503472801,"Tg H2","H2_emissions"
1771,8.79968537881285,"Tg H2","H2_emissions"
1772,8.7180152473334,"Tg H2","H2_emissions"
1773,8.73569850346558,"Tg H2","H2_emissions"
1774,8.97949006892937,"Tg H2","H2_emissions"
1775,8.97914060417681,"Tg H2","H2_emissions"
1776,8.78031081341798,"Tg H2","H2_emissions"
1777,9.0482966846898,"Tg H2","H2_emissions"
1778,9.16800254673326,"Tg H2","H2_emissions"
1779,8.9900893958409,"Tg H2","H2_emissions"
1780,9.08335369268822,"Tg H2","H2_emissions"
1781,9.07839188100579,"Tg H2","H2_emissions"
1782,8.9489620400353,"Tg H2","H2_emissions"
1783,8.88308988115016,"Tg H2","H2_emissions"
1784,8.86545711382193,"Tg H2","H2_emissions"
1785,8.96727815073372,"Tg H2","H2_emissions"
1786,8.92869544118531,"Tg H2","H2_emissions"
1787,9.04790867331105,"Tg H2","H2_emissions"
1788,9.36805247799766,"Tg H2","H2_emissions"
1789,9.11981899204252,"Tg H2","H2_emissions"
1790,9.17482482716185,"Tg H2","H2_emissions"
1791,8.97916037019761,"Tg H2","H2_emissions"
1792,8.92359981011977,"Tg H2","H2_emissions"
1793,8.8847171801984,"Tg H2","H2_emissions"
1794,9.13262254675059,"Tg H2","H2_emissions"
1795,9.11693857733494,"Tg H2","H2_emissions"
1796,8.86801427694706,"Tg H2","H2_emissions"
1797,9.15843763238019,"Tg H2","H2_emissions"
1798,9.25175707994082,"Tg H2","H2_emissions"
1799,9.12690473426906,"Tg H2","H2_emissions"
1800,9.14758641966019,"Tg H2","H2_emissions"
1801,9.1593535321297,"Tg H2","H2_emissions"
1802,9.07150037475046,"Tg H2","H2_emissions"
1803,8.94845868049049,"Tg H2","H2_emissions"
1804,9.04022743710571,"Tg H2","H2_emissions"
1805,9.11356231543481,"Tg H2","H2_emissions"
1806,9.13846128810106,"Tg H2","H2_emissions"
1807,9.20920790215153,"Tg H2","H2_emissions"
1808,9.54438109387315,"Tg H2","H2_emissions"
1809,9.30417761447432,"Tg H2","H2_emissions"
1810,9.36547780192975,"Tg H2","H2_emissions"
1811,9.2465656574618,"Tg H2","H2_emissions"
1812,9.1262569234672,"Tg H2","H2_emissions"
1813,9.14141366913465,"Tg H2","H2_emissions"
1814,9.38432998601798,"Tg H2","H2_emissions"
1815,9.39458311725445,"Tg H2","H2_emissions"
1816,9.24994811080921,"Tg H2","H2_emissions"
1817,9.41994807858532,"Tg H2","H2_emissions"
1818,9.60296619285491,"Tg H2","H2_emissions"
1819,9.4528519935605,"Tg H2","H2_emissions"
1820,9.5128701143891,"Tg H2","H2_emissions"
1821,9.56060884013815,"Tg H2","H2_emissions"
1822,9.40176845692935,"Tg H2","H2_emissions"
1823,9.28270361704879,"Tg H2","H2_emissions"
1824,9.41332315633803,"Tg H2","H2_emissions"
1825,9.45021108123632,"Tg H2","H2_emissions"
