"year","value","units","variable"
1826,9.43019756786644,"Tg H2","H2_emissions"
1827,9.52948148825243,"Tg H2","H2_emissions"
1828,9.86631731850213,"Tg H2","H2_emissions"
1829,9.64185325235545,"Tg H2","H2_emissions"
1830,9.71731215509556,"Tg H2","H2_emissions"
1831,9.53047808344161,"Tg H2","H2_emissions"
1832,9.48781997608368,"Tg H2","H2_emissions"
1833,9.49179612570993,"Tg H2","H2_emissions"
1834,9.70568030906685,"Tg H2","H2_emissions"
1835,9.67692891633016,"Tg H2","H2_emissions"
1836,9.60857740883302,"Tg H2","H2_emissions"
1837,9.78125759684264,"Tg H2","H2_emissions"
1838,9.93180366951135,"Tg H2","H2_emissions"
1839,9.8116686286467,"Tg H2","H2_emissions"
1840,9.72517942420108,"Tg H2","H2_emissions"
1841,9.92834092737807,"Tg H2","H2_emissions"
1842,9.75357786984007,"Tg H2","H2_emissions"
1843,9.54538714226676,"Tg H2","H2_emissions"
1844,9.6771708748126,"Tg H2","H2_emissions"
1845,9.7548856426007,"Tg H2","H2_emissions"
1846,9.72668468523642,"Tg H2","H2_emissions"
1847,9.9054169497039,"Tg H2","H2_emissions"
1848,10.1687075775607,"Tg H2","H2_emissions"
1849,10.0107178684728,"Tg H2","H2_emissions"
1850,10.0650163054174,"Tg H2","H2_emissions"
1851,9.85331067946292,"Tg H2","H2_emissions"
1852,9.72772665771665,"Tg H2","H2_emissions"
1853,9.78541067400039,"Tg H2","H2_emissions"
1854,10.0430329043632,"Tg H2","H2_emissions"
1855,9.96908824726844,"Tg H2","H2_emissions"
1856,9.82518262574884,"Tg H2","H2_emissions"
1857,10.1400232223712,"Tg H2","H2_emissions"
1858,10.2462264889112,"Tg H2","H2_emissions"
1859,10.1487959931298,"Tg H2","H2_emissions"
1860,10.0849871763696,"Tg H2","H2_emissions"
1861,10.1561923172829,"Tg H2","H2_emissions"
1862,10.0437639989569,"Tg H2","H2_emissions"
1863,9.84166510176093,"Tg H2","H2_emissions"
1864,9.96392279349097,"Tg H2","H2_emissions"
1865,10.1662848330024,"Tg H2","H2_emissions"
1866,10.0934437460637,"Tg H2","H2_emissions"
1867,10.2702772116692,"Tg H2","H2_emissions"
1868,10.534043708976,"Tg H2","H2_emissions"
1869,10.2709146484973,"Tg H2","H2_emissions"
1870,10.4460582746572,"Tg H2","H2_emissions"
1871,10.2712906742517,"Tg H2","H2_emissions"
1872,10.0471899126748,"Tg H2","H2_emissions"
1873,10.3200760564915,"Tg H2","H2_emissions"
1874,10.4756788403889,"Tg H2","H2_emissions"
1875,10.2911045546913,"Tg H2","H2_emissions"
1876,10.3055146618281,"Tg H2","H2_emissions"
1877,10.47026618407,"Tg H2","H2_emissions"
1878,10.5736962989992,"Tg H2","H2_emissions"
1879,10.5952942026006,"Tg H2","H2_emissions"
1880,10.4313311349381,"Tg H2","H2_emissions"
1881,10.5722546679174,"Tg H2","H2_emissions"
1882,10.4061034934476,"Tg H2","H2_emissions"
1883,10.177911125657,"Tg H2","H2_emissions"
1884,10.4262071910465,"Tg H2","H2_emissions"
1885,10.4522463527888,"Tg H2","H2_emissions"
1886,10.4754294562422,"Tg H2","H2_emissions"
1887,10.607132205496,"Tg H2","H2_emissions"
1888,10.7997633810374,"Tg H2","H2_emissions"
1889,10.7095770418465,"Tg H2","H2_emissions"
1890,10.8340979514986,"Tg H2","H2_emissions"
1891,10.6154101435766,"Tg H2","H2_emissions"
1892,10.4957806868921,"Tg H2","H2_emissions"
1893,10.5867409655716,"Tg H2","H2_emissions"
1894,10.8779099271239,"Tg H2","H2_emissions"
1895,10.8414254962531,"Tg H2","H2_emissions"
1896,10.5389509413106,"Tg H2","H2_emissions"
1897,10.9049221925858,"Tg H2","H2_emissions"
1898,10.9066201002462,"Tg H2","H2_emissions"
1899,10.9606409612537,"Tg H2","H2_emissions"
1900,10.8717179888376,"Tg H2","H2_emissions"
1901,10.8970918178169,"Tg H2","H2_emissions"
1902,10.8183728274081,"Tg H2","H2_emissions"
1903,10.6634666617895,"Tg H2","H2_emissions"
1904,10.9830564001468,"Tg H2","H2_emissions"
1905,11.1551796251034,"Tg H2","H2_emissions"
1906,11.0839574994144,"Tg H2","H2_emissions"
1907,11.4075694631687,"Tg H2","H2_emissions"
1908,11.4937861622187,"Tg H2","H2_emissions"
1909,11.4316552105452,"Tg H2","H2_emissions"
1910,11.660261801716,"Tg H2","H2_emissions"
1911,11.4569230011648,"Tg H2","H2_emissions"
1912,11.3109641469251,"Tg H2","H2_emissions"
1913,11.5213761736146,"Tg H2","H2_emissions"
1914,11.7430620996549,"Tg H2","H2_emissions"
1915,11.5621654299184,"Tg H2","H2_emissions"
1916,11.5079866638486,"Tg H2","H2_emissions"
1917,11.8540978776107,"Tg H2","H2_emissions"
1918,11.9588214965487,"Tg H2","H2_emissions"
1919,11.9142313617336,"Tg H2","H2_emissions"
1920,12.0547463893647,"Tg H2","H2_emissions"
1921,11.8777848516423,"Tg H2","H2_emissions"
1922,11.7371705590431,"Tg H2","H2_emissions"
1923,12.5122857069495,"Tg H2","H2_emissions"
1924,12.0111006185487,"Tg H2","H2_emissions"
1925,12.1446432532923,"Tg H2","H2_emissions"
1926,12.0918142714895,"Tg H2","H2_emissions"
1927,12.4023024272981,"Tg H2","H2_emissions"
1928,12.4244752563559,"Tg H2","H2_emissions"
1929,12.6403323312848,"Tg H2","H2_emissions"
1930,12.8583432042277,"Tg H2","H2_emissions"
1931,12.1055077332572,"Tg H2","H2_emissions"
1932,12.3155248710735,"Tg H2","H2_emissions"
1933,12.1906363726964,"Tg H2","H2_emissions"
1934,12.624381210391,"Tg H2","H2_emissions"
1935,12.6193426018524,"Tg H2","H2_emissions"
1936,13.1420488642105,"Tg H2","H2_emissions"
1937,13.0809922787695,"Tg H2","H2_emissions"
1938,12.724921273688,"Tg H2","H2_emissions"
1939,13.1826817884998,"Tg H2","H2_emissions"
1940,13.0697877788904,"Tg H2","H2_emissions"
1941,13.1469590404326,"Tg H2","H2_emissions"
1942,13.2622580860492,"Tg H2","H2_emissions"
1943,13.3441818377905,"Tg H2","H2_emissions"
1944,13.6362325821923,"Tg H2","H2_emissions"
1945,13.6599149608106,"Tg H2","H2_emissions"
1946,13.2894306354029,"Tg H2","H2_emissions"
1947,13.4139758940525,"Tg H2","H2_emissions"
1948,13.9887618560855,"Tg H2","H2_emissions"
1949,13.8475932519239,"Tg H2","H2_emissions"
1950,14.6370615005675,"Tg H2","H2_emissions"
1951,13.9159762932452,"Tg H2","H2_emissions"
1952,14.2206958080325,"Tg H2","H2_emissions"
1953,14.694440051565,"Tg H2","H2_emissions"
1954,14.889705813067,"Tg H2","H2_emissions"
1955,15.1561151817649,"Tg H2","H2_emissions"
1956,15.9542657912792,"Tg H2","H2_emissions"
1957,16.4787452117248,"Tg H2","H2_emissions"
1958,15.5308144200353,"Tg H2","H2_emissions"
1959,15.5283381661543,"Tg H2","H2_emissions"
1960,15.5003305312601,"Tg H2","H2_emissions"
1961,16.5097704590574,"Tg H2","H2_emissions"
1962,16.1914254296884,"Tg H2","H2_emissions"
1963,17.6679561012061,"Tg H2","H2_emissions"
1964,16.5757061938592,"Tg H2","H2_emissions"
1965,17.1092168814842,"Tg H2","H2_emissions"
1966,17.249333141481,"Tg H2","H2_emissions"
1967,18.2619205135503,"Tg H2","H2_emissions"
1968,18.1470041551118,"Tg H2","H2_emissions"
1969,18.3397063538226,"Tg H2","H2_emissions"
1970,19.1058958831588,"Tg H2","H2_emissions"
1971,19.4160800804614,"Tg H2","H2_emissions"
1972,21.2000559777845,"Tg H2","H2_emissions"
1973,20.0900679138108,"Tg H2","H2_emissions"
1974,20.1079242374536,"Tg H2","H2_emissions"
1975,19.9356628857466,"Tg H2","H2_emissions"
1976,20.8367294244435,"Tg H2","H2_emissions"
1977,21.1116815451223,"Tg H2","H2_emissions"
1978,21.7793495027116,"Tg H2","H2_emissions"
1979,21.6171006223883,"Tg H2","H2_emissions"
1980,21.3373319374613,"Tg H2","H2_emissions"
1981,20.9859076226648,"Tg H2","H2_emissions"
1982,23.3499434318975,"Tg H2","H2_emissions"
1983,20.7010312682855,"Tg H2","H2_emissions"
1984,21.1993785928539,"Tg H2","H2_emissions"
1985,21.525218606557,"Tg H2","H2_emissions"
1986,21.6679088806142,"Tg H2","H2_emissions"
1987,22.5099192361263,"Tg H2","H2_emissions"
1988,22.4425879772745,"Tg H2","H2_emissions"
1989,21.7255099191481,"Tg H2","H2_emissions"
1990,21.9738168083631,"Tg H2","H2_emissions"
1991,26.3178076683027,"Tg H2","H2_emissions"
1992,21.2730311012107,"Tg H2","H2_emissions"
1993,22.1047418005774,"Tg H2","H2_emissions"
1994,24.9237134868368,"Tg H2","H2_emissions"
1995,22.5876218531224,"Tg H2","H2_emissions"
1996,21.7723683515572,"Tg H2","H2_emissions"
1997,29.309499823918,"Tg H2","H2_emissions"
1998,31.5565311346894,"Tg H2","H2_emissions"
1999,27.1764916614374,"Tg H2","H2_emissions"
2000,26.9535177325365,"Tg H2","H2_emissions"
2001,25.9031725434503,"Tg H2","H2_emissions"
2002,25.3314945945383,"Tg H2","H2_emissions"
2003,26.585416561148,"Tg H2","H2_emissions"
2004,27.0967422685043,"Tg H2","H2_emissions"
2005,26.8337963392141,"Tg H2","H2_emissions"
2006,25.1599257803134,"Tg H2","H2_emissions"
2007,25.5085994342737,"Tg H2","H2_emissions"
2008,24.2903810584441,"Tg H2","H2_emissions"
2009,23.7824158188923,"Tg H2","H2_emissions"
2010,24.5658290342675,"Tg H2","H2_emissions"
2011,23.4407538502353,"Tg H2","H2_emissions"
2012,25.1829457817191,"Tg H2","H2_emissions"
2013,23.353353682326,"Tg H2","H2_emissions"
2014,23.4174521063055,"Tg H2","H2_emissions"
2015,25.1201638414764,"Tg H2","H2_emissions"
2016,24.4432556291943,"Tg H2","H2_emissions"
2017,23.0646499287904,"Tg H2","H2_emissions"
2018,21.4470184138077,"Tg H2","H2_emissions"
2019,24.0038590741206,"Tg H2","H2_emissions"
2020,23.3442774309172,"Tg H2","H2_emissions"
2021,22.8447085403282,"Tg H2","H2_emissions"
2022,20.9055576726535,"Tg H2","H2_emissions"
