# Data from Supplementary Table 6 of Sand et. al 2023 (https://doi.org/10.1038/s43247-023-00857-8),,,,
Name,CH4,O3,strat_H2O,Total
GFDL,4.9,4.7,3.2,12.8
INCA,4.9,3.2,1.7,9.8
OsloCTM,4.9,5.3,2.6,12.8
UKCA,5.1,3.9,,9.6
WACCM,4.3,5.1,0.9,11.1
GFDL-emi,4.3,4.3,2.8,11.4
OsloCTM-emi,5,5.4,2.7,13
MM,5.1,4.4,2.1,11.6
